phase,G_b,chi,growth_time,status,score,target_frechet_distance_px,target_curvature_rmse_px_inv,target_feature_loss,observed_growth_rate,model_growth_rate,growth_rate_loss,failure_reason
refined,1.875,0.0001414213562373095,0.02,computed,119.2595099888317,21.47303309226629,0.29766904105979547,107.34938502930733,0.5475685218156996,-0.0048214157995594125,1.0176878042462978,
refined,1.875,0.0001414213562373095,0.03,computed,131.04679104941584,21.568347283881792,0.28603073730208933,119.08610745792903,0.5475685218156996,-0.005420720224616993,1.0198972422352002,
refined,2.5,7.071067811865475e-05,0.01,computed,109.25915560685256,21.231784747296928,0.30552251930231883,97.4769999731104,0.5475685218156996,-0.003301307373908961,1.012094410411024,
refined,2.5,7.071067811865475e-05,0.02,computed,115.92312525703076,21.3677236201751,0.30002056448186076,104.06886113625193,0.5475685218156996,-0.00415842797640553,1.0152463777319016,
refined,2.5,7.071067811865475e-05,0.03,computed,123.75833650136656,21.455081829093615,0.2954161365197869,111.8577336704979,0.5475685218156996,-0.0047084637063574365,1.0172716554084325,
refined,2.5,0.0001,0.01,computed,116.695926489583,21.318971662429846,0.3002469349590793,104.86752268361634,0.5475685218156996,-0.0038512065096515413,1.0141160409184118,
refined,2.5,0.0001,0.02,computed,120.73653657661806,21.459095750478838,0.29656441764256863,108.83380458696243,0.5475685218156996,-0.00473372212852722,1.0173647075007013,
refined,2.5,0.0001,0.03,computed,129.26803253351162,21.539551629369953,0.2907508714177573,117.32262333438561,0.5475685218156996,-0.005239738293343094,1.0192297689699812,
refined,2.5,0.0001414213562373095,0.01,computed,124.19381100130693,21.310983089153922,0.2954029790210542,112.36964471381023,0.5475685218156996,-0.003800846706579048,1.0139308159458178,
refined,2.5,0.0001414213562373095,0.02,computed,119.26284441014452,21.47300126422448,0.29766626035635,107.35273633358624,0.5475685218156996,-0.004821215555231429,1.0176870664118092,
refined,2.5,0.0001414213562373095,0.03,computed,131.05252266744375,21.5682628418065,0.28603372298580915,119.09188386745198,0.5475685218156996,-0.005420189598287655,1.0198952849310456,
